date,amount,productCategory,region
2024-06-11,14283,Organic Produce,Pune Rural
2024-10-11,6669,Organic Produce,Pune Rural
2024-09-11,7359,Street Food,Pune Rural
2025-01-14,9722,Local Tailoring,Bangalore South
2025-03-19,700,Kirana Store,Chennai Central
2024-02-16,11015,Handmade Crafts,Delhi Old City
2024-11-25,11008,Street Food,Pune Rural
2025-10-16,13390,Street Food,Delhi Old City
2025-01-06,3240,Local Tailoring,Bangalore South
2024-12-31,7760,Street Food,Chennai Central
2025-03-01,672,Local Tailoring,Delhi Old City
2024-06-14,6102,Kirana Store,Chennai Central
2025-03-01,7341,Organic Produce,Pune Rural
2024-02-19,11316,Local Tailoring,Chennai Central
2024-09-11,6093,Handmade Crafts,Delhi Old City
2025-11-05,6186,Kirana Store,Delhi Old City
2025-01-05,12200,Kirana Store,Pune Rural
2025-12-13,10976,Local Tailoring,Chennai Central
2025-07-23,10118,Kirana Store,Pune Rural
2024-02-27,1041,Local Tailoring,Chennai Central
2025-10-08,10151,Organic Produce,Mumbai Suburban
2024-06-07,9694,Organic Produce,Delhi Old City
2024-09-24,8233,Handmade Crafts,Chennai Central
2025-11-22,10424,Organic Produce,Mumbai Suburban
2025-09-07,775,Local Tailoring,Mumbai Suburban
2024-08-01,13544,Handmade Crafts,Pune Rural
2024-11-02,9740,Street Food,Delhi Old City
2024-04-04,5335,Handmade Crafts,Chennai Central
2025-05-30,11667,Kirana Store,Pune Rural
2025-05-05,12684,Organic Produce,Delhi Old City
2024-06-04,5722,Handmade Crafts,Chennai Central
2024-05-04,4418,Organic Produce,Chennai Central
2025-07-19,11318,Local Tailoring,Delhi Old City
2025-05-14,8472,Local Tailoring,Mumbai Suburban
2024-04-19,6315,Organic Produce,Delhi Old City
2025-06-19,10635,Handmade Crafts,Chennai Central
2025-07-31,1678,Organic Produce,Mumbai Suburban
2024-08-25,2207,Organic Produce,Chennai Central
2025-06-03,2763,Kirana Store,Pune Rural
2024-08-07,5487,Local Tailoring,Chennai Central
2025-03-28,14394,Organic Produce,Mumbai Suburban
2024-10-18,1446,Kirana Store,Mumbai Suburban
2024-07-08,11873,Street Food,Chennai Central
2025-04-29,3977,Organic Produce,Delhi Old City
2024-09-03,6060,Organic Produce,Mumbai Suburban
2025-07-11,14408,Kirana Store,Chennai Central
2024-04-05,9109,Kirana Store,Bangalore South
2025-05-08,4305,Kirana Store,Pune Rural
2024-10-12,13432,Organic Produce,Delhi Old City
2025-03-26,10413,Local Tailoring,Pune Rural
2024-04-26,10848,Street Food,Mumbai Suburban
2024-09-29,5072,Organic Produce,Chennai Central
2025-08-09,8605,Organic Produce,Pune Rural
2024-10-28,10956,Street Food,Chennai Central
2024-11-14,9997,Kirana Store,Mumbai Suburban
2024-10-20,2234,Local Tailoring,Mumbai Suburban
2024-04-17,6153,Kirana Store,Pune Rural
2025-02-12,1808,Street Food,Delhi Old City
2025-08-31,11426,Handmade Crafts,Mumbai Suburban
2025-10-23,5899,Handmade Crafts,Chennai Central
2025-06-20,645,Kirana Store,Bangalore South
2024-10-03,3526,Kirana Store,Bangalore South
2025-02-25,4711,Handmade Crafts,Chennai Central
2024-03-11,14517,Handmade Crafts,Mumbai Suburban
2024-05-06,14317,Street Food,Mumbai Suburban
2025-09-22,11656,Local Tailoring,Delhi Old City
2025-05-09,7332,Local Tailoring,Mumbai Suburban
2024-12-30,7680,Handmade Crafts,Chennai Central
2024-05-14,1974,Kirana Store,Chennai Central
2024-10-18,8378,Street Food,Chennai Central
2024-03-30,2400,Kirana Store,Pune Rural
2025-07-15,7806,Street Food,Pune Rural
2024-11-02,5231,Street Food,Delhi Old City
2025-04-07,959,Street Food,Bangalore South
2025-05-06,3213,Kirana Store,Bangalore South
2024-08-14,531,Handmade Crafts,Chennai Central
2025-07-13,1712,Kirana Store,Delhi Old City
2025-03-03,9362,Handmade Crafts,Chennai Central
2024-01-24,11094,Kirana Store,Delhi Old City
2025-12-17,1382,Organic Produce,Bangalore South
2025-01-27,10299,Handmade Crafts,Pune Rural
2025-10-03,12987,Street Food,Bangalore South
2025-11-14,2831,Handmade Crafts,Delhi Old City
2025-02-11,10993,Local Tailoring,Chennai Central
2025-12-24,2822,Street Food,Bangalore South
2025-07-17,14093,Organic Produce,Delhi Old City
2025-11-13,5204,Organic Produce,Bangalore South
2024-05-12,5405,Organic Produce,Chennai Central
2024-12-30,1577,Street Food,Pune Rural
2025-11-28,14045,Organic Produce,Pune Rural
2025-05-06,11492,Kirana Store,Mumbai Suburban
2025-04-15,3600,Handmade Crafts,Delhi Old City
2025-08-12,4894,Organic Produce,Pune Rural
2024-06-21,13931,Kirana Store,Mumbai Suburban
2024-09-18,8182,Handmade Crafts,Chennai Central
2024-11-24,8459,Handmade Crafts,Bangalore South
2024-09-10,2018,Local Tailoring,Delhi Old City
2024-08-21,2683,Street Food,Bangalore South
2026-01-08,9415,Handmade Crafts,Bangalore South
2024-04-12,14328,Kirana Store,Delhi Old City
2025-02-07,11520,Handmade Crafts,Chennai Central
2025-08-05,12153,Kirana Store,Delhi Old City
2025-05-03,12692,Organic Produce,Mumbai Suburban
2025-10-09,10471,Street Food,Mumbai Suburban
2024-04-30,3515,Local Tailoring,Delhi Old City
2024-11-13,14810,Kirana Store,Chennai Central
2024-04-25,905,Organic Produce,Chennai Central
2024-11-03,9707,Street Food,Chennai Central
2025-12-20,13835,Organic Produce,Bangalore South
2024-02-17,3966,Handmade Crafts,Chennai Central
2024-01-13,3697,Local Tailoring,Delhi Old City
2025-01-01,2577,Local Tailoring,Bangalore South
2025-07-26,11030,Organic Produce,Pune Rural
2024-12-13,8692,Organic Produce,Pune Rural
2025-03-20,11792,Handmade Crafts,Chennai Central
2024-07-30,7102,Kirana Store,Chennai Central
2025-01-03,14296,Kirana Store,Mumbai Suburban
2025-09-27,14347,Local Tailoring,Mumbai Suburban
2025-05-17,13760,Handmade Crafts,Chennai Central
2024-09-06,12635,Organic Produce,Chennai Central
2024-04-24,6194,Local Tailoring,Chennai Central
2024-08-24,14123,Kirana Store,Bangalore South
2024-02-09,13361,Handmade Crafts,Bangalore South
2024-05-01,8623,Local Tailoring,Delhi Old City
2024-06-18,8143,Organic Produce,Mumbai Suburban
2025-07-27,4599,Handmade Crafts,Delhi Old City
2025-04-22,2422,Handmade Crafts,Delhi Old City
2025-09-23,13250,Handmade Crafts,Pune Rural
2024-09-22,6951,Local Tailoring,Chennai Central
2026-01-04,11689,Organic Produce,Mumbai Suburban
2025-01-16,7936,Street Food,Delhi Old City
2024-06-22,10299,Handmade Crafts,Delhi Old City
2024-04-29,10612,Street Food,Bangalore South
2025-06-14,6062,Local Tailoring,Chennai Central
2024-10-16,11195,Handmade Crafts,Chennai Central
2024-11-26,10260,Organic Produce,Pune Rural
2024-01-17,14708,Street Food,Mumbai Suburban
2024-10-28,14684,Street Food,Bangalore South
2025-09-09,11094,Handmade Crafts,Mumbai Suburban
2025-11-12,11567,Street Food,Bangalore South
2024-04-12,9173,Street Food,Mumbai Suburban
2025-12-17,9644,Kirana Store,Mumbai Suburban
2024-09-15,10912,Local Tailoring,Mumbai Suburban
2025-07-24,12330,Street Food,Bangalore South
2025-07-19,5739,Handmade Crafts,Mumbai Suburban
2024-06-11,2058,Kirana Store,Bangalore South
2024-02-01,12126,Street Food,Pune Rural
2024-12-11,14779,Kirana Store,Mumbai Suburban
2024-09-29,11279,Kirana Store,Delhi Old City
2025-01-18,12223,Handmade Crafts,Mumbai Suburban
2024-05-17,13801,Handmade Crafts,Pune Rural
2025-01-15,9796,Organic Produce,Delhi Old City
2025-12-16,785,Local Tailoring,Bangalore South
2025-08-09,2832,Handmade Crafts,Mumbai Suburban
2024-02-14,6180,Local Tailoring,Bangalore South
2025-05-11,13610,Organic Produce,Pune Rural
2024-11-25,3441,Organic Produce,Mumbai Suburban
2026-01-04,1885,Kirana Store,Delhi Old City
2025-01-22,12291,Handmade Crafts,Bangalore South
2025-02-23,8681,Kirana Store,Mumbai Suburban
2025-04-08,4879,Local Tailoring,Chennai Central
2024-10-29,3492,Kirana Store,Pune Rural
2024-08-20,13932,Kirana Store,Bangalore South
2024-03-28,12368,Street Food,Pune Rural
2025-05-22,6992,Kirana Store,Bangalore South
2025-05-23,4993,Street Food,Chennai Central
2024-10-28,3560,Handmade Crafts,Bangalore South
2026-01-06,4717,Handmade Crafts,Delhi Old City
2025-02-23,12935,Local Tailoring,Delhi Old City
2024-10-11,3827,Handmade Crafts,Bangalore South
2025-02-15,6205,Local Tailoring,Mumbai Suburban
2024-12-22,8839,Street Food,Pune Rural
2025-01-29,13305,Local Tailoring,Bangalore South
2024-08-03,3137,Street Food,Mumbai Suburban
2024-07-14,2485,Handmade Crafts,Pune Rural
2024-12-28,10839,Local Tailoring,Chennai Central
2024-03-26,4760,Kirana Store,Pune Rural
2025-04-04,7122,Kirana Store,Bangalore South
2025-04-24,3587,Handmade Crafts,Chennai Central
2024-07-05,2382,Handmade Crafts,Chennai Central
2025-11-29,7475,Local Tailoring,Bangalore South
2024-10-21,12615,Handmade Crafts,Chennai Central
2024-12-25,9009,Organic Produce,Mumbai Suburban
2024-06-20,6586,Kirana Store,Chennai Central
2024-05-01,11833,Street Food,Delhi Old City
2024-01-29,12626,Handmade Crafts,Delhi Old City
2024-12-10,570,Handmade Crafts,Pune Rural
2024-10-27,11214,Kirana Store,Pune Rural
2025-05-26,9571,Kirana Store,Mumbai Suburban
2024-04-01,9853,Local Tailoring,Chennai Central
2024-07-12,1759,Organic Produce,Mumbai Suburban
2025-10-22,8671,Organic Produce,Bangalore South
2025-03-08,4124,Kirana Store,Delhi Old City
2025-09-19,6520,Organic Produce,Mumbai Suburban
2024-12-20,6708,Organic Produce,Pune Rural
2024-10-14,7453,Street Food,Pune Rural
2024-01-18,11790,Kirana Store,Delhi Old City
2024-09-16,6641,Handmade Crafts,Delhi Old City
2024-02-20,4284,Handmade Crafts,Pune Rural
2024-03-24,2159,Local Tailoring,Pune Rural
2024-09-04,11513,Kirana Store,Pune Rural
2025-01-21,7000,Local Tailoring,Pune Rural
2025-06-17,9594,Local Tailoring,Delhi Old City
2024-09-15,3944,Handmade Crafts,Mumbai Suburban
2024-10-14,543,Local Tailoring,Bangalore South
2025-12-19,1504,Organic Produce,Pune Rural
2025-07-14,2210,Organic Produce,Bangalore South
2024-07-21,8716,Organic Produce,Pune Rural
2025-03-31,3255,Handmade Crafts,Delhi Old City
2025-08-26,3320,Organic Produce,Delhi Old City
2025-03-30,10140,Handmade Crafts,Bangalore South
2025-02-27,1554,Organic Produce,Bangalore South
2024-02-15,14916,Local Tailoring,Pune Rural
2025-06-17,8578,Handmade Crafts,Delhi Old City
2025-10-11,14213,Kirana Store,Delhi Old City
2024-09-11,2244,Street Food,Delhi Old City
2024-01-27,8724,Kirana Store,Delhi Old City
2025-08-31,12557,Street Food,Delhi Old City
2024-04-23,6960,Handmade Crafts,Delhi Old City
2025-01-24,12811,Local Tailoring,Mumbai Suburban
2024-07-08,9230,Kirana Store,Bangalore South
2024-11-18,4201,Kirana Store,Pune Rural
2025-07-26,4534,Handmade Crafts,Pune Rural
2024-02-13,2008,Handmade Crafts,Pune Rural
2025-10-13,4705,Kirana Store,Delhi Old City
2025-05-27,12330,Local Tailoring,Pune Rural
2024-04-19,14084,Street Food,Chennai Central
2025-07-30,10192,Street Food,Chennai Central
2025-08-26,8801,Handmade Crafts,Chennai Central
2024-05-19,8064,Organic Produce,Delhi Old City
2024-02-04,12933,Kirana Store,Pune Rural
2024-08-14,13277,Local Tailoring,Pune Rural
2025-08-08,4710,Handmade Crafts,Delhi Old City
2024-03-07,5193,Handmade Crafts,Pune Rural
2024-02-05,10260,Local Tailoring,Mumbai Suburban
2024-12-30,10569,Handmade Crafts,Chennai Central
2025-06-14,10997,Organic Produce,Mumbai Suburban
2025-10-18,13271,Kirana Store,Pune Rural
2024-11-16,9953,Kirana Store,Pune Rural
2025-04-29,5781,Organic Produce,Bangalore South
2024-10-09,4559,Kirana Store,Mumbai Suburban
2025-10-28,5479,Organic Produce,Bangalore South
2025-03-11,6082,Handmade Crafts,Bangalore South
2024-01-27,906,Street Food,Chennai Central
2024-02-08,4750,Organic Produce,Pune Rural
2025-06-14,5765,Street Food,Bangalore South
2024-06-07,12559,Local Tailoring,Delhi Old City
2025-09-04,8326,Kirana Store,Bangalore South
2024-01-15,12682,Street Food,Pune Rural
2025-09-17,5274,Street Food,Chennai Central
2024-07-29,3952,Street Food,Bangalore South
2024-09-07,3498,Local Tailoring,Mumbai Suburban
2024-07-23,1077,Kirana Store,Delhi Old City
2024-07-16,9058,Handmade Crafts,Chennai Central
2024-08-13,987,Handmade Crafts,Bangalore South
2025-11-04,8240,Local Tailoring,Mumbai Suburban
2024-06-19,620,Local Tailoring,Mumbai Suburban
2025-07-03,11990,Handmade Crafts,Bangalore South
2025-12-29,1327,Handmade Crafts,Mumbai Suburban
2024-09-27,2477,Street Food,Delhi Old City
2025-09-19,645,Local Tailoring,Mumbai Suburban
2024-06-12,12937,Local Tailoring,Chennai Central
2024-09-08,1384,Kirana Store,Pune Rural
2024-05-20,5998,Handmade Crafts,Mumbai Suburban
2024-10-03,8613,Kirana Store,Delhi Old City
2025-07-02,5529,Local Tailoring,Mumbai Suburban
2025-10-26,2558,Handmade Crafts,Bangalore South
2024-09-28,4368,Kirana Store,Pune Rural
2025-07-17,1828,Local Tailoring,Mumbai Suburban
2024-12-29,4865,Organic Produce,Mumbai Suburban
2025-06-05,13910,Organic Produce,Mumbai Suburban
2025-09-04,12299,Local Tailoring,Bangalore South
2025-01-22,14052,Kirana Store,Pune Rural
2024-05-14,12816,Handmade Crafts,Bangalore South
2025-06-05,5067,Kirana Store,Pune Rural
2024-11-11,10227,Street Food,Bangalore South
2025-12-29,6297,Local Tailoring,Bangalore South
2025-06-20,8928,Kirana Store,Pune Rural
2025-10-01,4216,Organic Produce,Pune Rural
2025-12-23,10231,Handmade Crafts,Chennai Central
2024-10-27,5500,Handmade Crafts,Chennai Central
2024-08-07,5784,Handmade Crafts,Delhi Old City
2025-11-08,4819,Street Food,Delhi Old City
2024-04-05,2385,Organic Produce,Pune Rural
2024-02-09,12981,Street Food,Delhi Old City
2025-06-25,6882,Handmade Crafts,Delhi Old City
2025-07-22,885,Street Food,Pune Rural
2025-06-01,11996,Organic Produce,Chennai Central
2024-10-18,6128,Kirana Store,Mumbai Suburban
2024-06-06,8845,Organic Produce,Delhi Old City
2025-11-28,7813,Kirana Store,Mumbai Suburban
2025-03-03,739,Organic Produce,Mumbai Suburban
2024-01-26,1286,Handmade Crafts,Delhi Old City
2025-02-11,759,Organic Produce,Bangalore South
2024-09-17,10990,Organic Produce,Delhi Old City
2025-09-28,7996,Local Tailoring,Delhi Old City
2025-04-04,14726,Kirana Store,Pune Rural
2024-08-05,12801,Kirana Store,Pune Rural
2025-03-04,4638,Local Tailoring,Mumbai Suburban
2024-06-18,14225,Organic Produce,Pune Rural
2025-12-24,1792,Organic Produce,Chennai Central
2025-05-08,3337,Organic Produce,Pune Rural
2025-08-03,12889,Local Tailoring,Chennai Central
2024-01-25,11368,Organic Produce,Mumbai Suburban
2025-04-13,1462,Street Food,Pune Rural
2024-12-08,13844,Kirana Store,Chennai Central
2025-12-07,11256,Local Tailoring,Pune Rural
2024-11-10,2884,Street Food,Mumbai Suburban
2024-04-01,1215,Kirana Store,Mumbai Suburban
2025-10-09,2949,Organic Produce,Pune Rural
2025-07-20,3083,Organic Produce,Chennai Central
2025-08-31,6169,Street Food,Pune Rural
2025-04-23,3795,Handmade Crafts,Pune Rural
2025-04-16,1508,Handmade Crafts,Delhi Old City
2025-07-14,7938,Kirana Store,Pune Rural
2024-07-20,7673,Handmade Crafts,Chennai Central
2025-10-14,5762,Kirana Store,Mumbai Suburban
2024-10-15,6600,Local Tailoring,Bangalore South
2024-10-28,3344,Local Tailoring,Delhi Old City
2025-02-17,14710,Kirana Store,Delhi Old City
2024-11-18,9089,Local Tailoring,Pune Rural
2025-08-18,3300,Kirana Store,Mumbai Suburban
2025-07-11,9353,Kirana Store,Bangalore South
2025-08-03,13641,Kirana Store,Bangalore South
2024-05-02,14657,Organic Produce,Pune Rural
2024-06-22,10906,Local Tailoring,Chennai Central
2025-07-24,7379,Organic Produce,Pune Rural
2025-07-31,14759,Local Tailoring,Chennai Central
2025-03-26,2707,Local Tailoring,Pune Rural
2024-03-28,6086,Organic Produce,Bangalore South
2024-01-19,11207,Organic Produce,Chennai Central
2025-07-06,1829,Street Food,Delhi Old City
2024-04-06,11301,Organic Produce,Mumbai Suburban
2025-05-23,4554,Local Tailoring,Bangalore South
2024-11-23,14936,Local Tailoring,Mumbai Suburban
2024-07-11,6581,Handmade Crafts,Chennai Central
2024-02-21,4501,Local Tailoring,Pune Rural
2025-02-11,2160,Street Food,Mumbai Suburban
2024-04-28,2645,Street Food,Chennai Central
2025-04-29,1086,Handmade Crafts,Bangalore South
2024-01-14,7997,Handmade Crafts,Chennai Central
2025-01-18,2197,Handmade Crafts,Pune Rural
2025-11-13,1885,Kirana Store,Bangalore South
2025-04-10,14554,Organic Produce,Chennai Central
2024-06-01,11183,Street Food,Bangalore South
2024-06-18,6578,Local Tailoring,Bangalore South
2025-06-04,3546,Local Tailoring,Mumbai Suburban
2025-07-22,846,Local Tailoring,Mumbai Suburban
2025-01-09,13691,Handmade Crafts,Mumbai Suburban
2025-05-07,14605,Street Food,Bangalore South
2024-05-09,6929,Street Food,Mumbai Suburban
2024-12-16,10785,Kirana Store,Pune Rural
2025-10-23,9488,Organic Produce,Bangalore South
2025-03-21,3513,Handmade Crafts,Mumbai Suburban
2024-05-28,9924,Street Food,Chennai Central
2025-03-25,11751,Kirana Store,Bangalore South
2024-05-03,10699,Organic Produce,Bangalore South
2025-08-03,10003,Street Food,Mumbai Suburban
2025-06-14,12036,Local Tailoring,Pune Rural
2025-01-02,6708,Organic Produce,Chennai Central
2024-07-29,6631,Organic Produce,Bangalore South
2024-12-06,6305,Handmade Crafts,Pune Rural
2024-11-09,12671,Handmade Crafts,Chennai Central
2025-05-18,629,Street Food,Mumbai Suburban
2025-01-07,5737,Kirana Store,Bangalore South
2025-02-17,10129,Organic Produce,Pune Rural
2024-12-09,8948,Local Tailoring,Pune Rural
2025-12-11,7258,Kirana Store,Delhi Old City
2025-08-27,6451,Organic Produce,Bangalore South
2024-12-17,2502,Local Tailoring,Bangalore South
2024-06-05,736,Organic Produce,Chennai Central
2024-12-28,13889,Kirana Store,Pune Rural
2025-10-19,8417,Street Food,Mumbai Suburban
2025-03-08,2051,Organic Produce,Chennai Central
2024-05-11,2809,Local Tailoring,Delhi Old City
2024-08-16,878,Kirana Store,Chennai Central
2025-05-08,12041,Handmade Crafts,Delhi Old City
2024-02-23,14840,Street Food,Bangalore South
2024-07-12,11617,Street Food,Bangalore South
2025-08-23,10306,Handmade Crafts,Delhi Old City
2025-09-05,8778,Street Food,Pune Rural
2024-12-16,7578,Organic Produce,Chennai Central
2024-11-12,3471,Handmade Crafts,Pune Rural
2025-09-17,11111,Handmade Crafts,Chennai Central
2024-11-27,1060,Street Food,Pune Rural
2024-05-21,5186,Handmade Crafts,Pune Rural
2024-06-18,7548,Local Tailoring,Delhi Old City
2024-11-12,11240,Local Tailoring,Delhi Old City
2025-04-26,7882,Local Tailoring,Delhi Old City
2024-12-31,8990,Organic Produce,Chennai Central
2025-06-23,7316,Handmade Crafts,Bangalore South
2024-12-04,12551,Handmade Crafts,Bangalore South
2025-02-10,11765,Organic Produce,Mumbai Suburban
2025-12-07,7645,Organic Produce,Chennai Central
2025-07-07,13008,Handmade Crafts,Chennai Central
2025-05-10,8048,Handmade Crafts,Chennai Central
2024-06-11,2687,Street Food,Bangalore South
2024-06-28,1467,Organic Produce,Mumbai Suburban
2024-10-22,10110,Handmade Crafts,Delhi Old City
2025-08-13,12514,Handmade Crafts,Pune Rural
2025-01-27,680,Handmade Crafts,Chennai Central
2026-01-03,12759,Organic Produce,Pune Rural
2025-11-19,11788,Street Food,Chennai Central
2024-11-15,7974,Street Food,Pune Rural
2024-05-13,13282,Organic Produce,Mumbai Suburban
2024-03-10,12369,Kirana Store,Delhi Old City
2025-11-24,1882,Organic Produce,Delhi Old City
2025-12-15,10287,Organic Produce,Bangalore South
2025-01-30,2966,Local Tailoring,Mumbai Suburban
2025-03-28,5478,Kirana Store,Delhi Old City
2024-09-29,4988,Handmade Crafts,Mumbai Suburban
2024-06-13,7137,Street Food,Bangalore South
2025-06-07,4246,Handmade Crafts,Bangalore South
2025-09-11,10761,Local Tailoring,Mumbai Suburban
2024-08-26,11501,Street Food,Pune Rural
2025-06-28,3290,Street Food,Chennai Central
2025-12-28,9297,Local Tailoring,Pune Rural
2025-08-23,4800,Kirana Store,Delhi Old City
2024-11-27,6834,Organic Produce,Pune Rural
2024-07-02,1354,Street Food,Chennai Central
2025-05-28,14217,Handmade Crafts,Mumbai Suburban
2024-09-02,6410,Kirana Store,Bangalore South
2025-03-30,1902,Kirana Store,Delhi Old City
2025-12-02,8188,Handmade Crafts,Chennai Central
2024-08-08,14601,Handmade Crafts,Chennai Central
2024-04-03,4996,Kirana Store,Bangalore South
2025-01-24,9334,Organic Produce,Mumbai Suburban
2024-03-13,3960,Kirana Store,Bangalore South
2024-09-07,10862,Local Tailoring,Pune Rural
2024-04-29,11890,Local Tailoring,Delhi Old City
2025-01-05,1004,Handmade Crafts,Mumbai Suburban
2025-11-10,584,Organic Produce,Chennai Central
2024-02-16,1086,Street Food,Pune Rural
2025-11-28,9077,Kirana Store,Mumbai Suburban
2024-11-14,6243,Handmade Crafts,Pune Rural
2024-01-14,3981,Street Food,Pune Rural
2025-12-28,14451,Kirana Store,Mumbai Suburban
2025-12-18,7111,Street Food,Mumbai Suburban
2025-11-02,5180,Street Food,Delhi Old City
2024-05-24,7162,Street Food,Delhi Old City
2024-03-23,6493,Local Tailoring,Delhi Old City
2024-10-06,2744,Kirana Store,Bangalore South
2024-02-26,5407,Local Tailoring,Pune Rural
2024-06-13,6668,Local Tailoring,Delhi Old City
2024-06-03,9683,Kirana Store,Delhi Old City
2024-12-15,8645,Handmade Crafts,Delhi Old City
2025-11-08,3617,Kirana Store,Mumbai Suburban
2025-02-03,11884,Street Food,Mumbai Suburban
2024-04-10,6881,Organic Produce,Bangalore South
2025-03-29,9178,Kirana Store,Pune Rural
2025-05-16,8886,Kirana Store,Chennai Central
2025-03-31,13580,Handmade Crafts,Delhi Old City
2024-03-24,2387,Local Tailoring,Bangalore South
2024-05-20,7002,Handmade Crafts,Delhi Old City
2025-07-08,2957,Organic Produce,Chennai Central
2025-01-01,10191,Handmade Crafts,Mumbai Suburban
2024-01-10,8194,Organic Produce,Mumbai Suburban
2024-05-11,9447,Street Food,Bangalore South
2026-01-03,8971,Kirana Store,Chennai Central
2025-06-04,12625,Organic Produce,Pune Rural
2024-06-06,5778,Local Tailoring,Chennai Central
2025-09-21,3246,Organic Produce,Pune Rural
2025-06-14,14949,Kirana Store,Bangalore South
2025-01-09,8893,Street Food,Chennai Central
2025-06-13,10692,Local Tailoring,Delhi Old City
2025-01-15,10350,Street Food,Pune Rural
2025-12-17,10860,Street Food,Pune Rural
2024-02-07,13322,Local Tailoring,Mumbai Suburban
2025-01-17,883,Kirana Store,Pune Rural
2025-09-12,9931,Local Tailoring,Mumbai Suburban
2024-09-08,5593,Organic Produce,Mumbai Suburban
2024-05-26,3171,Handmade Crafts,Bangalore South
2024-10-04,13192,Handmade Crafts,Chennai Central
2025-01-25,6461,Local Tailoring,Pune Rural
2024-01-25,2286,Local Tailoring,Mumbai Suburban
2024-03-06,11069,Handmade Crafts,Pune Rural
2024-06-09,13061,Street Food,Delhi Old City
2025-03-06,10052,Organic Produce,Pune Rural
2025-02-13,1184,Street Food,Mumbai Suburban
2025-07-17,10650,Local Tailoring,Delhi Old City
2024-12-12,4935,Street Food,Mumbai Suburban
2024-08-24,9067,Organic Produce,Mumbai Suburban
2024-05-08,5974,Handmade Crafts,Delhi Old City
2024-07-06,11877,Organic Produce,Bangalore South
2025-08-17,10791,Kirana Store,Delhi Old City
2025-11-08,8127,Organic Produce,Pune Rural
2024-07-13,14081,Organic Produce,Mumbai Suburban
2025-08-01,9126,Organic Produce,Chennai Central
2024-05-01,10565,Organic Produce,Mumbai Suburban
2025-11-18,4061,Local Tailoring,Pune Rural
2025-11-22,12726,Handmade Crafts,Bangalore South
2024-09-07,10162,Local Tailoring,Delhi Old City
2025-07-22,7761,Kirana Store,Pune Rural
2024-06-24,12831,Handmade Crafts,Pune Rural
2025-09-10,5035,Organic Produce,Bangalore South
